epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2427,1.31699,3.70152,1.51526,0.00108,0.34286,0.0796,0.0313,1.73959,3.98499,1.59041,0.0004,0.0004,0.0964
2,67.6349,1.3112,2.69081,1.48064,0.0092,0.52286,0.20937,0.06172,2.26744,3.67867,2.08306,0.000891009,0.000891009,0.091891
3,100.575,1.33592,2.32599,1.40536,0.17663,0.29857,0.23098,0.08379,2.00368,3.32994,1.97851,0.00137203,0.00137203,0.087372
4,138.933,1.37663,2.15372,1.34015,0.55316,0.25227,0.24792,0.10158,1.83029,2.70548,2.34705,0.00184306,0.00184306,0.0828431
5,171.07,1.30752,1.94962,1.3248,0.11415,0.50101,0.31119,0.12334,2.05323,14.6142,3.66956,0.0023041,0.0023041,0.0783041
6,202.557,1.33877,1.8858,1.36862,0.10523,0.48286,0.25945,0.13692,2.08317,11.5011,3.03493,0.00275515,0.00275515,0.0737551
7,234.657,1.42439,1.79857,1.44705,0.47882,0.15714,0.10909,0.03561,2.452,122.702,6.26609,0.0031962,0.0031962,0.0691962
8,266.277,1.39061,1.85015,1.34743,0.26402,0.34286,0.07654,0.02107,2.32961,492.39,5.27142,0.00362727,0.00362727,0.0646273
9,298.443,1.304,1.72765,1.36247,0.41765,0.28286,0.12986,0.03733,2.31579,292.286,5.76512,0.00404835,0.00404835,0.0600484
10,329.844,1.31096,1.6731,1.32803,0.28772,0.47394,0.13291,0.03313,2.65643,255.057,9.11103,0.00445944,0.00445944,0.0554594
11,361.676,1.39906,1.57123,1.35157,0.08302,0.66,0.14109,0.05393,1.78635,153.794,3.47872,0.00486054,0.00486054,0.0508605
12,393.451,1.29897,1.49139,1.32123,0.04702,0.97143,0.19043,0.06158,1.92173,98.6618,4.65033,0.00525165,0.00525165,0.0462516
13,424.557,1.38025,1.50691,1.34592,0.04505,0.8,0.26487,0.09997,1.73368,98.0798,3.55614,0.00563277,0.00563277,0.0416328
14,456.256,1.35539,1.49672,1.33115,0.06565,0.56286,0.26474,0.06343,2.25219,97.3096,4.64781,0.0060039,0.0060039,0.0370039
15,486.884,1.36177,1.47339,1.28314,0.13035,0.86,0.29284,0.11789,1.94448,70.3593,4.27646,0.00636504,0.00636504,0.032365
16,519.107,1.2538,1.22406,1.25518,0.70093,0.30286,0.25803,0.12503,1.87222,51.4053,3.96923,0.00671618,0.00671618,0.0277162
17,550.6,1.45116,1.53105,1.42054,0.37121,0.33429,0.20639,0.09268,1.79347,106.805,3.81798,0.00705734,0.00705734,0.0230573
18,582.956,1.34231,1.38824,1.32772,0.88889,0.13429,0.33253,0.15643,1.68309,77.121,3.233,0.00738851,0.00738851,0.0183885
19,614.253,1.48433,1.53741,1.38159,0.9,0.08571,0.20606,0.09376,1.75574,53.2622,3.31763,0.00770969,0.00770969,0.0137097
20,645.48,1.25934,1.34694,1.2372,0.55857,0.51714,0.39556,0.22452,1.38722,80.4298,2.18682,0.00802088,0.00802088,0.00902088
21,677.936,1.30718,1.28847,1.23803,0.86667,0.27714,0.45629,0.25407,1.45152,70.7698,2.20115,0.008002,0.008002,0.008002
22,708.757,1.35356,1.25021,1.28682,0.09929,0.88286,0.44346,0.20091,1.81034,32.822,2.69042,0.0079021,0.0079021,0.0079021
23,745.883,1.3487,1.21381,1.31815,0.12159,0.70994,0.4466,0.15734,1.79804,19.1168,2.41177,0.0078022,0.0078022,0.0078022
24,777.662,1.33551,1.19332,1.2872,0.32299,0.62,0.41692,0.22839,1.34373,14.8102,1.52551,0.0077023,0.0077023,0.0077023
25,809.797,1.44163,1.27755,1.38157,0.36024,0.58,0.37272,0.17545,1.68433,13.2882,1.79488,0.0076024,0.0076024,0.0076024
26,840.676,1.34689,1.24616,1.27126,0.41185,0.42286,0.36683,0.14916,2.06918,11.2949,2.34117,0.0075025,0.0075025,0.0075025
27,873.248,1.25278,1.22255,1.25356,0.44742,0.70062,0.5072,0.19566,1.86789,11.1875,2.11015,0.0074026,0.0074026,0.0074026
28,904.715,1.26955,1.26068,1.27534,0.40135,0.74,0.44807,0.25353,1.42933,9.92186,1.468,0.0073027,0.0073027,0.0073027
29,937.314,1.29662,1.13436,1.29725,0.49769,0.6,0.51973,0.28604,1.48706,7.59199,1.52198,0.0072028,0.0072028,0.0072028
30,970.026,1.18926,1.15046,1.18577,0.47798,0.57043,0.54398,0.27513,1.54372,6.48794,1.57451,0.0071029,0.0071029,0.0071029
31,1003.51,1.22401,1.10591,1.2021,0.65181,0.72315,0.68763,0.33294,1.60429,5.00274,1.60566,0.007003,0.007003,0.007003
32,1034.97,1.13478,1.05585,1.18599,0.7725,0.75143,0.80227,0.48284,1.24626,2.52829,1.28179,0.0069031,0.0069031,0.0069031
33,1067.65,1.11475,1.08472,1.18451,0.83221,0.77143,0.76682,0.49384,1.23011,2.11432,1.24219,0.0068032,0.0068032,0.0068032
34,1099.24,1.20649,1.16529,1.21321,0.79926,0.77143,0.83926,0.46301,1.45139,2.15944,1.4134,0.0067033,0.0067033,0.0067033
35,1131.4,1.22021,1.04665,1.1728,0.59602,0.9799,0.8181,0.47079,1.63777,2.74191,1.6236,0.0066034,0.0066034,0.0066034
36,1162.46,1.15686,1.09041,1.20619,0.62989,0.84981,0.74654,0.49677,1.28004,2.5472,1.3487,0.0065035,0.0065035,0.0065035
37,1193.56,1.18351,1.04517,1.23608,0.6309,0.9204,0.84507,0.56181,1.18375,1.72233,1.22867,0.0064036,0.0064036,0.0064036
38,1225.2,1.08677,0.94812,1.12709,0.84159,0.68006,0.83893,0.56335,1.1907,1.46394,1.18013,0.0063037,0.0063037,0.0063037
39,1256.29,1.05328,0.93322,1.12866,0.84141,0.72097,0.8955,0.61352,1.20556,1.43643,1.18336,0.0062038,0.0062038,0.0062038
40,1288.26,1.05203,0.99371,1.17988,0.81458,0.72,0.86956,0.53903,1.30316,1.41182,1.23548,0.0061039,0.0061039,0.0061039
41,1319.8,1.10914,0.9465,1.16974,0.89554,0.7008,0.88457,0.54781,1.20836,1.28729,1.15366,0.006004,0.006004,0.006004
42,1351.69,1.08186,0.92942,1.14157,0.75655,0.71722,0.87244,0.55899,1.19832,1.30176,1.11576,0.0059041,0.0059041,0.0059041
43,1382.76,1.07507,0.94412,1.10879,0.81995,0.63015,0.81833,0.4672,1.33314,1.30703,1.1892,0.0058042,0.0058042,0.0058042
44,1414.4,1.12677,0.94635,1.13648,0.38575,0.77132,0.77255,0.45262,1.25445,1.49751,1.15615,0.0057043,0.0057043,0.0057043
45,1446.24,0.94552,0.88014,1.05595,0.69785,0.64,0.72132,0.48394,1.08327,1.53411,1.09103,0.0056044,0.0056044,0.0056044
46,1477.57,0.96645,0.80283,1.0704,0.67573,0.72,0.70215,0.44388,1.08065,1.56784,1.11179,0.0055045,0.0055045,0.0055045
47,1509.32,0.9496,0.8715,1.0426,0.75108,0.64803,0.7644,0.4935,1.13699,1.42987,1.13861,0.0054046,0.0054046,0.0054046
48,1540.12,1.06623,0.96559,1.14523,0.73432,0.8,0.87017,0.58512,1.1722,1.25527,1.10438,0.0053047,0.0053047,0.0053047
49,1572.3,1.05485,0.87229,1.13782,0.73283,0.8,0.85699,0.57879,1.17501,1.19114,1.09127,0.0052048,0.0052048,0.0052048
50,1602.85,0.99376,0.87338,1.09721,0.76716,0.75432,0.852,0.54835,1.26575,1.20358,1.12196,0.0051049,0.0051049,0.0051049
51,1633.28,1.08599,0.92073,1.13093,0.8462,0.70501,0.86533,0.51564,1.40159,1.21866,1.18365,0.005005,0.005005,0.005005
52,1664.79,0.99832,0.89768,1.08797,0.76492,0.78907,0.87581,0.61335,1.12604,1.1454,1.07845,0.0049051,0.0049051,0.0049051
53,1696.13,0.99781,0.86574,1.10565,0.82117,0.7313,0.87033,0.65408,0.98615,1.08769,1.0383,0.0048052,0.0048052,0.0048052
54,1728.18,1.04517,0.88103,1.1407,0.84917,0.71392,0.85089,0.62796,1.02442,1.0477,1.05419,0.0047053,0.0047053,0.0047053
55,1759.33,1.01284,0.78611,1.12353,0.86793,0.7176,0.87189,0.6125,1.12309,1.02373,1.10463,0.0046054,0.0046054,0.0046054
56,1791.49,0.94307,0.78435,1.07909,0.86348,0.79401,0.8756,0.60508,1.1183,0.9316,1.06615,0.0045055,0.0045055,0.0045055
57,1823.03,0.90868,0.72914,1.06973,0.84041,0.8,0.8756,0.63452,1.10635,0.87681,1.04081,0.0044056,0.0044056,0.0044056
58,1853.57,1.02459,0.82986,1.10796,0.96339,0.71642,0.8756,0.65496,1.07626,0.87189,1.01732,0.0043057,0.0043057,0.0043057
59,1885.12,0.83123,0.67317,1.01413,0.92316,0.8,0.8756,0.66388,1.05775,0.88252,1.0236,0.0042058,0.0042058,0.0042058
60,1916,0.95611,0.77527,1.09183,0.96011,0.73543,0.97722,0.67414,1.18877,0.92955,1.11436,0.0041059,0.0041059,0.0041059
61,1948.66,0.97933,0.73615,1.06689,0.63186,0.96387,0.955,0.65587,1.16136,0.9413,1.10908,0.004006,0.004006,0.004006
62,1980.11,0.97655,0.80494,1.14013,0.59649,0.92967,0.955,0.67919,1.0895,0.93361,1.07307,0.0039061,0.0039061,0.0039061
63,2011.8,0.90413,0.74747,1.07839,0.58695,0.92,0.955,0.72164,1.00814,0.94549,1.03497,0.0038062,0.0038062,0.0038062
64,2043.08,0.93303,0.76621,1.04815,0.57386,0.92,0.92567,0.66911,1.11027,0.90458,1.07404,0.0037063,0.0037063,0.0037063
65,2074.33,0.95403,0.77459,1.09692,0.58117,0.92,0.935,0.65063,1.16346,0.89493,1.08582,0.0036064,0.0036064,0.0036064
66,2106.03,0.97252,0.8018,1.11358,0.61414,0.92,0.955,0.68907,1.11057,0.85024,1.06405,0.0035065,0.0035065,0.0035065
67,2136.96,0.89041,0.71653,1.05929,0.6412,0.92861,0.955,0.72644,1.02094,0.8085,1.03885,0.0034066,0.0034066,0.0034066
